experiment_name,model_type,accuracy,macro_f1,weighted_f1,loss,scene_accuracy,joint_accuracy,training_time,avg_test_time_per_sample,target_modality,noise_ratio,missing_modalities,status,notes
modal_noise_baseline_imu_20,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07399101187825523,0.4946236559139785,0.0,4.524,0.000208,imu,0.2,none,completed,
modal_noise_baseline_imu_40,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07392020204094468,0.4959677419354839,0.0,2.0992,0.000213,imu,0.4,none,completed,
modal_noise_baseline_imu_60,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07815611651868269,0.4946236559139785,0.0,1.4406,0.000188,imu,0.6,none,completed,
modal_noise_baseline_gesture_20,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07462220665027378,0.4959677419354839,0.0,2.0915,0.000292,gesture,0.2,none,completed,
modal_noise_baseline_gesture_40,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.0734108622956981,0.4932795698924731,0.0,2.2026,0.000309,gesture,0.4,none,completed,
modal_noise_baseline_gesture_60,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07078711984939473,0.4959677419354839,0.0,2.2026,0.000309,gesture,0.6,none,completed,
modal_noise_baseline_audio_20,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07485494541344784,0.49193548387096775,0.0,1.5267,0.000194,audio,0.2,none,completed,
modal_noise_baseline_audio_40,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07502137101505713,0.4946236559139785,0.0,3.9976,0.000228,audio,0.4,none,completed,
modal_noise_baseline_audio_60,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07468498233825929,0.49193548387096775,0.0,4.0912,0.000229,audio,0.6,none,completed,
modal_noise_baseline_text_20,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07455827930681808,0.4959677419354839,0.0,4.7153,0.000255,text,0.2,none,completed,
modal_noise_baseline_text_40,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.06761018967916889,0.4959677419354839,0.0,4.7364,0.000262,text,0.4,none,completed,
modal_noise_baseline_text_60,baseline,0.9865591397849462,0.9859575609088123,0.9864697992826703,0.07322975969122301,0.4986559139784946,0.0,4.6954,0.000263,text,0.6,none,completed,
modal_noise_baseline_scene_20,baseline,0.9838709677419355,0.9832662696791558,0.9837540506034471,0.07508376079501324,0.4932795698924731,0.0,3.7174,0.000219,scene,0.2,none,completed,
modal_noise_baseline_scene_40,baseline,0.9852150537634409,0.9844885235558793,0.9851008461606423,0.07620933034046683,0.4959677419354839,0.0,2.2018,0.000218,scene,0.4,none,completed,
modal_noise_baseline_scene_60,baseline,0.9852150537634409,0.9847353070320887,0.9851230037254753,0.07791991601948456,0.49193548387096775,0.0,1.5268,0.000199,scene,0.6,none,completed,
