experiment_name,model_type,accuracy,macro_f1,weighted_f1,loss,scene_accuracy,joint_accuracy,training_time,avg_test_time_per_sample,target_modality,noise_ratio,missing_modalities,status,notes,use_reliability_gate,use_modality_dropout,ablation_variant
improved_noise_imu_20,ReliabilityGatedMultimodalModel,0.9798387096774194,0.9786486036326584,0.9796570458320916,0.09826475428417325,0.4596774193548387,0.0,5.5365,0.000253,imu,0.2,none,completed,,True,True,none
improved_noise_imu_40,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9800911545327652,0.9809965849665222,0.09308292193999214,0.4731182795698925,0.0,5.0883,0.000253,imu,0.4,none,completed,,True,True,none
improved_noise_imu_60,ReliabilityGatedMultimodalModel,0.9825268817204301,0.9815802876941597,0.9823902176905172,0.08999761279111587,0.46236559139784944,0.0,5.0476,0.000246,imu,0.6,none,completed,,True,True,none
improved_noise_gesture_20,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9801150370796218,0.9810242597358411,0.09447958623810161,0.45698924731182794,0.0,6.3161,0.000449,gesture,0.2,none,completed,,True,True,none
improved_noise_gesture_40,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9801150370796218,0.9810242597358411,0.09656612135930567,0.46102150537634407,0.0,6.2926,0.00035,gesture,0.4,none,completed,,True,True,none
improved_noise_gesture_60,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9801150370796218,0.9810242597358411,0.09299374837929042,0.4731182795698925,0.0,6.3645,0.000353,gesture,0.6,none,completed,,True,True,none
improved_noise_audio_20,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9801150370796218,0.9810242597358411,0.09384257780508168,0.4583333333333333,0.0,5.1832,0.000247,audio,0.2,none,completed,,True,True,none
improved_noise_audio_40,ReliabilityGatedMultimodalModel,0.9825268817204301,0.9815802876941597,0.9823902176905172,0.09110981660584609,0.4596774193548387,0.0,5.2653,0.00025,audio,0.4,none,completed,,True,True,none
improved_noise_audio_60,ReliabilityGatedMultimodalModel,0.9825268817204301,0.9815802876941597,0.9823902176905172,0.0911056931851612,0.46236559139784944,0.0,5.0855,0.000259,audio,0.6,none,completed,,True,True,none
improved_noise_text_20,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9801150370796218,0.9810242597358411,0.09514603521975298,0.46102150537634407,0.0,5.7344,0.000293,text,0.2,none,completed,,True,True,none
improved_noise_text_40,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9801150370796218,0.9810242597358411,0.09689741265229,0.45698924731182794,0.0,5.6996,0.000293,text,0.4,none,completed,,True,True,none
improved_noise_text_60,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9801150370796218,0.9810242597358411,0.09333957794813379,0.4637096774193548,0.0,5.8137,0.000292,text,0.6,none,completed,,True,True,none
improved_noise_scene_20,ReliabilityGatedMultimodalModel,0.9825268817204301,0.9815802876941597,0.9823902176905172,0.0912797592970873,0.46102150537634407,0.0,5.157,0.000251,scene,0.2,none,completed,,True,True,none
improved_noise_scene_40,ReliabilityGatedMultimodalModel,0.9798387096774194,0.9786189389886961,0.9796240552638207,0.09678681953359515,0.46908602150537637,0.0,5.182,0.000251,scene,0.4,none,completed,,True,True,none
improved_noise_scene_60,ReliabilityGatedMultimodalModel,0.9825268817204301,0.9815622613738589,0.982367926871419,0.09220151206158021,0.46639784946236557,0.0,5.2531,0.000253,scene,0.6,none,completed,,True,True,none
